size,mflop
31,11392
32,13287.2
96,38323.3
97,36742
127,39101
128,43296.1
129,42376.1
191,48235.7
192,53830.8
229,50833
255,50012.9
256,54249.1
257,49943.4
319,48611.8
320,50090.4
321,49249.8
417,50397.9
479,50435.4
480,50949.4
511,48680.1
512,50877.1
639,50385.6
640,50129.8
767,49504.4
768,62204.9
769,60036.2
1023,61615.7
1024,55617.7
1025,49079
1525,59036.8
1526,59179.8
1527,55904.6
