size,mflop
31,14955
32,18738.1
96,27591.9
97,27105.8
127,25784
128,27779.1
129,27651.6
191,29341.7
192,31496.1
229,31750.5
255,30580.2
256,29030.9
257,28456.1
319,26267.7
320,27283.5
321,26628.5
417,26487.9
479,27081.2
480,27257.9
511,25980.6
512,26969.9
639,28181.9
640,28016
767,27767.1
768,30739.4
769,32502.6
1023,33195.7
1024,32747.1
1025,27984.1
1525,31617.4
1526,34756.9
1527,31384.2
