size,mflop
31,2601.62
32,3156.05
96,3859.75
97,3800.06
127,3768.88
128,1780.33
129,3912.27
191,3076.12
192,1806.85
229,2905.34
255,2936.92
256,830.989
257,2978.73
319,2918.4
320,1804.88
321,2958.02
417,2863.03
479,2334.57
480,1834.14
511,2743.29
512,815.261
639,1805.62
640,620.966
767,1171.98
768,611.387
769,989.777
1023,780.083
1024,479.572
1025,939.193
1525,1166.49
1526,1413.07
1527,1572.34
