size,mflop
31,2603.66
32,3156.61
96,3864.09
97,3802.94
127,3769.43
128,1781.41
129,3914.9
191,3051.14
192,1810.86
229,2904.63
255,2927.76
256,827.368
257,2972.25
319,2923.6
320,1795.56
321,2945.11
417,2879.61
479,2384.12
480,1841.61
511,2819.94
512,817.607
639,1817.07
640,634.19
767,1139.66
768,576.215
769,975.097
1023,771.151
1024,656.918
1025,943.981
1525,820.618
1526,1165.11
1527,1356.22
