size,mflop
31,1912.87
32,2417.18
96,2408.1
97,1999.56
127,2034.34
128,2235.37
129,2013.65
191,2044.74
192,2345.66
229,2027.93
255,2047.79
256,1780.9
257,2036.9
319,2054.14
320,2324.42
321,2045.89
417,2049.46
479,2055.54
480,2380.55
511,1984.4
512,1284.88
639,2034.16
640,2178
767,2009.1
768,1762.8
769,1912.72
1023,1890.16
1024,1230.53
1025,1847.06
1525,1386.46
1526,1473.61
1527,1727.54
